tournament_year,group_name,team,team_order,team_fifaCode,team_flagCode,team_flagUrl
2002,Group G,Italy,2,ITA,it,https://flagcdn.com/w80/it.png
2002,Group G,Croatia,3,CRO,hr,https://flagcdn.com/w80/hr.png
2002,Group G,Ecuador,4,ECU,ec,https://flagcdn.com/w80/ec.png
2002,Group H,Japan,1,JPN,jp,https://flagcdn.com/w80/jp.png
2002,Group H,Belgium,2,BEL,be,https://flagcdn.com/w80/be.png
2002,Group H,Russia,3,RUS,ru,https://flagcdn.com/w80/ru.png
2002,Group H,Tunisia,4,TUN,tn,https://flagcdn.com/w80/tn.png
2006,Group A,Germany,1,GER,de,https://flagcdn.com/w80/de.png
2006,Group A,Ecuador,2,ECU,ec,https://flagcdn.com/w80/ec.png
2006,Group A,Poland,3,POL,pl,https://flagcdn.com/w80/pl.png
2006,Group A,Costa Rica,4,CRC,cr,https://flagcdn.com/w80/cr.png
2006,Group B,England,1,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
2006,Group B,Sweden,2,SWE,se,https://flagcdn.com/w80/se.png
2006,Group B,Paraguay,3,PAR,py,https://flagcdn.com/w80/py.png
2006,Group B,Trinidad and Tobago,4,TRI,tt,https://flagcdn.com/w80/tt.png
2006,Group C,Argentina,1,ARG,ar,https://flagcdn.com/w80/ar.png
2006,Group C,Netherlands,2,NED,nl,https://flagcdn.com/w80/nl.png
2006,Group C,Ivory Coast,3,CIV,ci,https://flagcdn.com/w80/ci.png
2006,Group C,Serbia and Montenegro,4,SCG,rs,https://flagcdn.com/w80/rs.png
2006,Group D,Portugal,1,POR,pt,https://flagcdn.com/w80/pt.png
2006,Group D,Mexico,2,MEX,mx,https://flagcdn.com/w80/mx.png
2006,Group D,Angola,3,ANG,ao,https://flagcdn.com/w80/ao.png
2006,Group D,Iran,4,IRN,ir,https://flagcdn.com/w80/ir.png
2006,Group E,Italy,1,ITA,it,https://flagcdn.com/w80/it.png
2006,Group E,Ghana,2,GHA,gh,https://flagcdn.com/w80/gh.png
2006,Group E,Czech Republic,3,CZE,cz,https://flagcdn.com/w80/cz.png
2006,Group E,USA,4,USA,us,https://flagcdn.com/w80/us.png
2006,Group F,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
2006,Group F,Australia,2,AUS,au,https://flagcdn.com/w80/au.png
2006,Group F,Croatia,3,CRO,hr,https://flagcdn.com/w80/hr.png
2006,Group F,Japan,4,JPN,jp,https://flagcdn.com/w80/jp.png
2006,Group G,Switzerland,1,SUI,ch,https://flagcdn.com/w80/ch.png
2006,Group G,France,2,FRA,fr,https://flagcdn.com/w80/fr.png
